variant,canonical_locality,ward_name,ward_no,zone
baljitnagar,baljeet nagar,baljeet nagar,88,karol bagh zone
jahangir puri block a,jahangirpuri block a,jahangir puri,18,civil lines zone
kasturba nagar shahdra,kasturba nagar (shahdara),vishwas nagar,207,shahdara south zone
nangloi jat delhi,nangloi jat,nangloi jat,46,rohini zone
शेर पुर,शेरपुर,दयालपुर,242,शाहदरा नॉर्थ ज़ोन
hiderpur,haiderpur,shalimar bagh - a,55,keshav puram zone
bhootsiri delhi,bhootsiri village,nangloi jat,46,rohini zone
south extension 2,south extension part 2,andrews ganj,145,central zone
पश्चिम गोरख पार्क,गोरख पार्क वेस्ट,गोरख पार्क,235,शाहदरा नॉर्थ ज़ोन
मोहन गार्डन के ब्लॉक,मोहन गार्डन,मोहन गार्डन,113,नजफगढ़ ज़ोन
lajpat nagar phase 4,lajpat nagar 4,lajpat nagar,144,central zone
bindapur village,bindapur village,bindapur,116,najafgarh zone
जहांगीरपुरी ए ब्लॉक एरिया,जहाँगीरपुरी ब्लॉक ए,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
paschim vihar jawalapuri side,paschim vihar west,paschim vihar,59,keshav puram zone
dryaganj,daryaganj,daryaganj,142,city sp zone
हकीकत नगर,हकीकत नगर,मुखर्जी नगर,13,सिविल लाइंस ज़ोन
वेलकम सीलमपुर फेज 2,वेलकम फेज 2,वेलकम कॉलोनी,224,शाहदरा नॉर्थ ज़ोन
khell gaon,khel gaon,hauj khas,148,south zone
majlispark,majlis park,adarsh nagar,15,civil lines zone
prabhudayal enclave,prabhu dayal area,shalimar bagh - b,56,keshav puram zone
पश्चिम विहार ई,पश्चिम विहार ईस्ट,पश्चिम विहार,59,केशव पुरम ज़ोन
rac timarpur,drdo rac,timarpur,11,civil lines zone
swarup nagar,swaroop nagar,sarup nagar,19,civil lines zone
rohini sec 1 area,rohini sector 1,rohini-f,52,rohini zone
rohini sector 8 block a,rohini sector 8 block a,rohini-a,21,rohini zone
arjan garh area,arjan garh,aya nagar,157,south zone
subhash vihar road,subhash vihar,ghonda (women),231,shahdara north zone
satyavati college,satyawati college,ashok vihar,65,keshav puram zone
हेमकुंट कालोनी,हेमकुंट कॉलोनी,ग्रेटर कैलाश,173,साउथ ज़ोन
sadh nagar area,sadh nagar,sadh nagar,138,najafgarh zone
shalimarbagh block b,shalimar bagh block b,shalimar bagh - a,55,keshav puram zone
जाफराबाद,जाफराबाद,चौहान बांगर (women),227,शाहदरा नॉर्थ ज़ोन
model town phase 1,model town 1,model town,68,keshav puram zone
ताहीरपुर गांव,ताहिरपुर गांव,दिलशाद कॉलोनी,217,शाहदरा साउथ ज़ोन
dwarka sector 5,dwarka sector 5,madhu vihar,136,najafgarh zone
गणेश नगर दिल्ली,गणेश नगर,पांडव नगर,200,ईस्ट ज़ोन
हरि नगर की मार्केट,हरि नगर,हरि नगर,99,वेस्ट ज़ोन
प्रीत विहार मेट्रो,प्रीत विहार,प्रीत विहार,204,ईस्ट ज़ोन
सत्यवती कॉलेज रोड,सत्यवती कॉलेज,अशोक विहार,65,केशव पुरम ज़ोन
फ्रीडम फाइटर सोसायटी,फ्रीडम फाइटर एन्क्लेव,सैदुलाजाब,160,साउथ ज़ोन
kapashera vllg,kapashera village,kapashera,132,najafgarh zone
shahbaddairy resettlement colony,shahbad dairy resettlement colony,shahbad dairy,28,narela zone
शिवाजी पार्क कॉलोनी,शिवाजी पार्क,पंजाबी बाग,92,केशव पुरम ज़ोन
narelasector a1,narela sector a-1,bankner,2,narela zone
harsh vihar,harsh vihar,harsh vihar,237,shahdara north zone
shanty nagar,shanti nagar,tri nagar,63,keshav puram zone
pochanpur vill,pochanpur,dwarka-c,130,najafgarh zone
मोडल टाउन फेज़ 3,मॉडल टाउन फेज़ 3,आज़ादपुर,16,सिविल लाइंस ज़ोन
गणेश नगर,गणेश नगर,पांडव नगर,200,ईस्ट ज़ोन
गुर मंडी एरिया,गुर मंडी,संगम पार्क,67,केशव पुरम ज़ोन
kapshera border,kapashera border,kapashera,132,najafgarh zone
munirka area,munirka village,munirka,151,south zone
vikaspuri blocka,vikaspuri block a,vikas puri,107,west zone
हकीकत नगर दिल्ली,हकीकत नगर,मुखर्जी नगर,13,सिविल लाइंस ज़ोन
ओल्ड राजिन्दर नगर,ओल्ड राजिंदर नगर,राजिंदर नगर,141,करोल बाग ज़ोन
ranjeetnagar,ranjeet nagar,ranjeet nagar,87,karol bagh zone
vijayvihar phase 2,vijay vihar phase 2,vijay vihar,24,rohini zone
janakpuri blockc,janakpuri block c,janak puri south,104,west zone
भाटी खान,भाटी माइंस,भाटी,158,साउथ ज़ोन
jaitpur extn phase 2,jaitpur extension phase 2,jaitpur,184,south zone
dwarkasec3,dwarka sector 3,dwarka - a,121,najafgarh zone
model town 1 delhi,model town 1,model town,68,keshav puram zone
जैतपुर एक्सटेंशन वाली गली 2,जैतपुर एक्सटेंशन फेज 2,जैतपुर,184,साउथ ज़ोन
आई.पी. एक्सटेंशन,आईपी एक्सटेंशन,आईपी एक्सटेंशन,205,ईस्ट ज़ोन
जनकपुरी डी ५ ब्लॉक,जनकपुरी ब्लॉक डी,जनकपुरी साउथ,104,वेस्ट ज़ोन
saurabh vihaar,saurabh vihar,meethapur,182,south zone
द्वारका सेक्टर १५,सेक्टर 15 द्वारका,ककरोला,123,नजफगढ़ ज़ोन
naraina vihar station,naraina vihar,naraina,139,karol bagh zone
maya enclave colony,maya enclave,rajouri garden,96,west zone
नांगली सकरावती गाँव,नांगली सकरावती,नांगली सकरावती,124,नजफगढ़ ज़ोन
trilokpuri sector 30,trilokpuri block 30,trilokpuri,192,east zone
ghalib haveli,ghalib ki haveli,ballimaran,79,city sp zone
चोहान पट्टी,चौहान पट्टी,सोनिया विहार,249,शाहदरा नॉर्थ ज़ोन
trinagar,tri nagar,tri nagar,63,keshav puram zone
नारायणा विहार,नारायणा विहार,नारायणा,139,करोल बाग ज़ोन
vikaspuri blockm,vikaspuri block m,vikas puri,107,west zone
बैशाली,वैशाली,पीतमपुरा,57,केशव पुरम ज़ोन
अपोलो अस्पताल दिल्ली,अपोलो अस्पताल,सरिता विहार,187,साउथ ज़ोन
सेक्टर १५ द्वारका,सेक्टर 15 द्वारका,ककरोला,123,नजफगढ़ ज़ोन
onkarnagar,onkar nagar,tri nagar,63,keshav puram zone
town hall market,town hall,chandni chowk,74,city sp zone
mitraon,mitraon,dichaon kalan,128,najafgarh zone
bara hindu rao hospital area,bara hindu rao,sadar bazar,72,city sp zone
sec 21,sector 21,aman vihar,41,rohini zone
golcha cinema area,golcha cinema area,daryaganj,142,city sp zone
yamuna vihar b-block,yamuna vihar block b,yamuna vihar (gen.),232,shahdara north zone
mukundpur part 2,mukundpur part 2,mukundpur,8,civil lines zone
नांगली पुना गांव,नांगली पूना,कादीपुर,7,सिविल लाइंस ज़ोन
बरवाला मुख्य गांव,बरवाला,पूठ खुर्द,29,नरेला ज़ोन
tagore garden ext,tagore garden extension,raghubir nagar,94,west zone
बल्लीमारान,बल्लीमारान,बल्लीमारान,79,सिटी एसपी ज़ोन
sulabh museum area,sulabh international,mahaveer enclave,105,najafgarh zone
जहाँगीरपुरी ब्लॉक के,जहाँगीरपुरी ब्लॉक के,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
sultanpurip block,sultanpuri block p,sultanpuri-b,44,rohini zone
बख्तावरपुर त्रिवेणी कॉलोनी,त्रिवेणी कॉलोनी,बख्तावरपुर,5,नरेला ज़ोन
punjabi bagh east,punjabi bagh east,punjabi bagh,92,keshav puram zone
